Title,ReleaseYear,IMDBid,Runtime,imdbRating,imdbVotes,Metascore,Released,BoxOffice,budget ($M)
Iron Man,2008,tt0371746,126,7.9,869802,79,2008-05-02,318298180,140
Iron Man 2,2010,tt1228705,124,7,661819,57,2010-05-07,312057433,200
The Incredible Hulk,2008,tt0800080,112,6.7,403193,61,2008-06-13,134518390,150
Thor,2011,tt0800369,115,7,684247,57,2011-05-06,181015141,150
Captain America: The First Avenger,2011,tt0458339,124,6.9,670046,66,2011-07-22,176636816,140
The Avengers,2012,tt0848228,143,8.1,1186132,69,2012-05-04,623279547,220
Iron Man 3,2013,tt1300854,130,7.2,697910,62,2013-05-03,408992272,200
Thor: The Dark World,2013,tt1981115,112,6.9,544769,54,2013-11-08,206360018,170
Captain America: The Winter Soldier,2014,tt1843866,136,7.8,670860,70,2014-04-04,228636083,170
Guardians of the Galaxy,2014,tt2015381,121,8.1,955749,76,2014-08-01,270592504,170
Guardians of the Galaxy Vol. 2,2017,tt3896198,136,7.7,489848,67,2017-05-05,389804217,200
Avengers: Age of Ultron,2015,tt2395427,141,7.3,670778,66,2015-05-01,429113729,191
Ant-Man,2015,tt0478970,117,7.3,503130,64,2015-07-17,138002223,130
Captain America: Civil War,2016,tt3498820,147,7.8,585656,75,2016-05-06,408080554,250
Black Panther,2018,tt1825683,134,7.3,523706,88,2018-02-16,501105037,200
Spider-Man: Homecoming,2017,tt2250912,133,7.5,439192,73,2017-07-07,334166825,175
Doctor Strange,2016,tt1211837,115,7.5,522529,72,2016-11-04,232630718,165
Thor: Ragnarok,2017,tt3501632,130,7.9,492913,74,2017-11-03,314971245,180
Avengers: Infinity War,2018,tt4154756,149,8.5,682938,68,2018-04-27,664987816,321
Ant-Man and the Wasp,2018,tt5095030,118,7.1,251030,70,2018-07-06,,162
Captain Marvel,2019,tt4154664,123,7,326854,64,2019-03-08,,152
Avengers: Endgame,2019,tt4154796,181,8.7,477608,78,2019-04-26,,400
Spider-Man: Far From Home,2019,tt6320628,129,8,110832,69,2019-07-02,,
