Title,YearStart,YearEnd,Printings,Source,Notes
Batman: A Death in the Family,1988,1988,14,https://www.comics.org/issue/95718/,-
Batman: Year One,1987,1988,6,https://www.comics.org/issue/247874/,-
Batman: Arkham Asylum,1989,1989,?,https://www.comics.org/issue/64210/,-
Batman: The Dark Knight Returns,1986,1986,10,https://www.comics.org/issue/43816/,-
Batman: The Killing Joke,1988,1988,14,https://www.comics.org/issue/43808/,"Eisner Award for 'Best Graphic Album' in 1989 and appeared on The New York Times Best Seller List in May 2009"
Batman: Hush,2002,2003,?,https://www.comics.org/issue/356042/,-
Batman: Son of the Demon,1987,1987,?,https://www.comics.org/issue/250954/,"Hilary Goldstein IGN ranked 5"
Batman: Birth of the Demon,1987,1992,,https://www.comics.org/issue/351289/,includes Son of the Demon and others
Batman and Son,2006,2007,?,https://www.comics.org/issue/534661/,"includes the Three Ghosts of Batman"
Batman: The Long Halloween,1996,1997,?,https://www.comics.org/issue/351306/,-
Batman: Tales of the Demon,1971,1980,,https://www.comics.org/issue/43814/,
Batman Volume 1: The Court of Owls,2011,2012,?,,
Batman Black and White,1996,1996,?,https://www.comics.org/issue/58880/,Vol. 1
Batman: The Black Mirror,2011,2011,?,https://dc.fandom.com/wiki/Batman:_The_Black_Mirror,
Batman: Dark Victory,1999,2000,9,https://www.comics.org/issue/365275/,
Robin: Year One,2001,2001,?,https://en.wikipedia.org/wiki/Robin:_Year_One,
Batman and the Monster Men,2005,2006,?,"https://www.comics.org/issue/358468/,https://dc.fandom.com/wiki/Batman_and_the_Monster_Men_Vol_1",
Batman: Whatever Happened to the Caped Crusader?,2009,2009,,https://www.comics.org/issue/654782/,
Batman: Thrillkiller,1997,1997,?,https://www.comics.org/issue/300275/,
Batman: Night of the Owls,2011,2012,,https://www.comics.org/issue/1156916/,
Batman By Azzarello And Risso,2017,2017,,https://www.dccomics.com/graphic-novels/batman-1940/batman-by-brian-azzarello-and-eduardo-risso-deluxe-edition,
Batman and Robin: Batman Reborn,2009,2010,,"https://dc.fandom.com/wiki/Batman_and_Robin:_Batman_Reborn_(Collected),https://www.comics.org/issue/869018/",
Batman and Robin: Requiem for Damian,2013,2014,,"https://dc.fandom.com/wiki/Batman_and_Robin:_Requiem_for_Damian_(Collected),https://www.dccomics.com/graphic-novels/batman-and-robin-2011/batman-and-robin-vol-4-requiem-for-damian-0",
The Greatest Batman Stories Ever Told,1940,1988,,"https://dc.fandom.com/wiki/The_Greatest_Batman_Stories_Ever_Told_(Collected),https://www.comics.org/issue/43870/",
Batman: Under the [Red] Hood,2005,2006,,"https://en.wikipedia.org/wiki/Batman:_Under_the_Hood,https://www.dccomics.com/graphic-novels/batman-1940/batman-under-the-hood",
Gotham Central Vol. 1: In the Line of Duty,2003,2003,,https://dc.fandom.com/wiki/Gotham_Central_Vol_1:_In_the_Line_of_Duty_(Collected), technically not Batman
Gotham Central Vol. 2: Jokers and Madmen,2003,2004,,"https://dc.fandom.com/wiki/Gotham_Central_Book_Two:_Jokers_and_Madmen_(Collected),https://www.dccomics.com/graphic-novels/gotham-central-2003/gotham-central-vol-2-jokers-and-madmen", technically not Batman
Batman: No Man's Land,1999,1999,,https://en.wikipedia.org/wiki/Batman:_No_Man%27s_Land,Vol.1 and 4
Batman: Zero Year,2013,2014,,"https://dc.fandom.com/wiki/Batman:_Zero_Year,https://en.wikipedia.org/wiki/Batman:_Zero_Year",
Batman: The Last Arkham,1992,1992,,https://en.wikipedia.org/wiki/Batman:_The_Last_Arkham,Shadow of the Bat
Batman: Endgame,2014,2014,,"https://en.wikipedia.org/wiki/Batman:_Endgame,https://dc.fandom.com/wiki/Batman:_Endgame",
The Batman in Nine Lives,2002,2002,,"https://www.comics.org/issue/354935/,https://en.wikipedia.org/wiki/Batman:_Nine_Lives",
Batman: Haunted Knight,1993,1996,9,"https://www.comics.org/issue/348531/",reprinted in Absolute Batman: Haunted Knight
Batman: Earth One Vol. 1,2012,2012,,"https://en.wikipedia.org/wiki/Batman:_Earth_One,https://www.goodreads.com/book/show/12791521-batman",
Batman: Earth One Vol. 2,2015,2015,,"https://en.wikipedia.org/wiki/Batman:_Earth_One,https://www.goodreads.com/book/show/23012543-batman",
JLA: Rock Of Ages,1997,1998,,https://dc.fandom.com/wiki/JLA:_Rock_of_Ages,
Batman: Second Chances,2015,2015,,"https://www.comixology.com/Batman-Second-Chances/digital-comic/246611,https://www.comics.org/issue/1435657/",
The Untold Legend of the Batman,1980,1980,,https://en.wikipedia.org/wiki/The_Untold_Legend_of_the_Batman,
Batman: Face the Face,2006,2006,,"https://en.wikipedia.org/wiki/Batman:_Face_the_Face,",
"Batman: Detective Comics, Volume 5: Gothtopia",2011,2011,,"https://www.goodreads.com/book/show/21855291-batman,https://batman-news.com/2017/02/25/detective-comics-vol-5-gothtopia-review/,https://www.dccomics.com/graphic-novels/detective-comics-2011/detective-comics-vol-5-gothtopia",
"All Star Batman Vol. 3: The First Ally",2016,2018,,"https://www.dccomics.com/graphic-novels/all-star-batman-2016/all-star-batman-vol-3-the-first-ally,",
"All Star Batman Vol. 2: Ends Of The Earth",2017,2017,,"https://dc.fandom.com/wiki/All-Star_Batman:_Ends_of_the_Earth_(Collected),https://www.dccomics.com/graphic-novels/all-star-batman-2016/all-star-batman-vol-2-ends-of-the-earth",
"All Star Batman and Robin, the Boy Wonder",2005,2008,2,"https://dc.fandom.com/wiki/All_Star_Batman_and_Robin,_the_Boy_Wonder_Vol_1,https://dc.fandom.com/wiki/All_Star_Batman_and_Robin,_the_Boy_Wonder_(Collected)",
The Batman Chronicles Vol. 1,1939,1940,1,"https://dc.fandom.com/wiki/Batman_Chronicles_Vol_1_(Collected),https://www.dccomics.com/graphic-novels/the-batman-chronicles-2005/the-batman-chronicles-vol-1",
Batman: Heart of Hush,2008,2009,,"https://dc.fandom.com/wiki/Batman:_Heart_of_Hush,https://www.dccomics.com/graphic-novels/detective-comics-1937/batman-heart-of-hush-0",
Batman 75th Anniversary Box Set,2014,2014,,https://www.dccomics.com/graphic-novels/batman-75th-anniversary-commemorative-collection,collects DARK KNIGHT RETURNS and BATMAN: HUSH and BATMAN VOL. 1: THE COURT OF OWLS
Batman: Cataclysm,1998,1998,,"https://en.wikipedia.org/wiki/Batman:_Cataclysm,https://dc.fandom.com/wiki/Batman:_Cataclysm",
